galaxy,tier,age_confidence,morphology_bin,t50_gyr,g98,beta_eff,chi2nu_configg,chi2nu_mond,chi2nu_nfw,rho,phi_last,n_points,vmax_obs_kms,r_knee_kpc,g_outer,chimera_flag
UGC 05986,T2,HIGH,SPIRAL,5.8,1721.731466489597,2.1373040438579425,0.6395394227595522,0.1238428688691872,0.1035253736725261,0.1931542099698503,0.5325589431652957,15,116.0,0.851241647644961,332.5596811902231,False
NGC 0300,T3,HIGH,SPIRAL,11.1,1064.0437579831932,2.0400153883105125,0.8040890182000661,0.2328073861827856,0.0319162253067343,0.1362697000389409,0.7749708634680201,25,97.0,0.91,144.99692372881353,False
UGC 07399,T2,HIGH,SPIRAL,5.4,1613.760936065574,2.207390042499856,1.8225344971817363,0.8553476713438031,0.0137116821482764,0.1634499646949067,0.6092923154078137,10,106.0,0.7662647278909867,263.7691680261012,False
UGC 06983,T2,HIGH,SPIRAL,5.1,1782.6967685823756,2.1863891203011607,0.6062805686150569,0.2982180087678327,0.045321310175345,0.1147084139497542,0.9778615371352044,17,113.0,2.479244803767818,204.49031887755103,False
UGC 03546,T2,HIGH,BULGE-DOM,7.9,211180.4720793248,-0.3989422804014317,1.7541053782666858,9.46222356777472,0.0322342781122438,0.0026137359077734,0.335755180712541,30,262.0,18.06599474113369,551.9699828942867,True
UGC 08490,T2,MEDIUM,SPIRAL,5.0,2322.229952941176,2.050479481559489,1.0400079680648142,0.008138499204966,0.0035966947208456,0.0401877182896853,0.4825828898543833,30,80.1,1.4611726333982686,93.32512315270937,False
UGC 12506,T2,MEDIUM-HIGH,GIANT,6.0,2963.70907456446,1.746998655141231,1.6092477208042724,1.0266042362209906,0.04077937535773,0.1375222719054498,0.2655986543248101,31,255.0,20.236529470397244,407.5760052010402,False
UGC 00128,T2,HIGH,SPIRAL,6.0,675.0228271999998,2.4814245949890443,2.7555544402410965,0.7817575544892161,0.0308887186437505,0.061624469639667,0.7276756017427352,22,134.0,1.25,41.59792372093023,False
NGC 1003,T2,MEDIUM,SPIRAL,6.0,2198.354794076921,1.9689672957435265,2.7467065017921595,1.2032992615130806,0.0329233704634113,0.0358624277389027,0.6627153960628668,36,115.0,4.069661245779004,78.83833994708996,False
NGC 2683,T3,HIGH,GIANT,10.0,15724.974825136584,-0.2909637042909215,3.5158029405752416,5.912314268398266,0.118294787025166,0.0191415967188253,0.661415799950134,11,212.0,15.993831800470232,301.0011265164644,True
UGC 05721,T2,HIGH,SPIRAL,6.0,3801.809185185185,1.5277277431660587,1.6543949742801676,0.2417999926021603,0.0459920931813535,0.0370263588935008,0.130761173191537,23,82.6,1.3172673333837908,140.76715133531158,False
NGC 6503,T2,MEDIUM,SPIRAL,6.5,9386.726657894736,0.4505962234494954,3.323929167103691,1.6149046531243114,0.0205402794506661,0.013730006392896,0.4091112143716797,31,121.0,6.106987965422971,128.8798170212766,True
NGC 2915,T3,MEDIUM,SPIRAL,8.5,4616.605800702367,0.9558116188968376,4.504512401981145,0.6305101671573756,0.114299751264454,0.0145535186381953,0.027316997324655,30,86.5,1.3210970592934392,67.18785856573706,True
NGC 4214,T3,HIGH,SPIRAL,11.2,4984.674225396825,0.550465638137422,1.8002562901210044,0.1208720181226,0.0580375301833568,0.0394680200006782,0.4771179825594137,14,80.6,1.9573839338032573,196.7352220248668,False
UGC 11914,T3,HIGH,BULGE-DOM,10.5,134011.73487521562,-0.3989422804011824,3.0969993821106767,2.7535578834765984,0.1999913623512357,0.0504444828016887,0.9191561744311776,65,305.0,9.83,6760.152655137335,False
NGC 2403,T3,HIGH,SPIRAL,10.8,6966.305095652174,0.2273676918604459,3.1316396516570237,0.9587732547052806,0.0284866419576121,0.025469011782897,0.4210067544400937,73,136.0,5.890441780960513,177.42490656444656,False
UGC 05253,T2,HIGH,BULGE-DOM,8.0,172480.7521902834,-0.3989422804009835,3.3800980476001765,6.595473164629327,0.2670941984792078,0.0018334963077168,0.3751899335509023,73,248.0,22.31087617092425,316.2428222931132,True
UGC 08699,T3,MEDIUM-LOW,BULGE-DOM,8.8,119376.01181395352,-0.3989422798788756,4.730495835079297,2.517633554472854,0.1062983108001295,0.0032969939140636,0.3394388618829931,41,202.0,12.86363326135738,393.5819844357976,True
