mass_bin,dn4000_slice,R_mpc,DeltaSigma_Msun_per_pc2,DeltaSigma_err_Msun_per_pc2,DeltaSigma_x_Msun_per_pc2,denom_sum_w2_approx,num_sum_w1_et,N_lenses_used
10.1-10.4,4,0.06057638293142942,-6.086882031661925,40.1368587776883,-2.308412348036693,0.0005554822883468424,-0.0033811551598448434,397
10.1-10.4,4,0.08891397050194613,-21.78954123614331,27.362632099173744,20.25932036527369,0.0012086289189239818,-0.026335469668089414,397
10.1-10.4,4,0.13050786078412682,6.968849873594768,18.152675022150568,-6.195963201277889,0.002708803691123446,0.018877246260478667,397
10.1-10.4,4,0.19155934247786435,13.769841040499053,12.484323859006714,26.062320436721542,0.0057931150970895184,0.0797702740162379,397
10.1-10.4,4,0.2811706625951745,-6.286388525355659,8.452616092147503,-4.905126912482294,0.0125498903563796,-0.07889348673081636,397
10.1-10.4,4,0.4127020926340091,-6.137499021436598,5.760825405554724,-10.271085011244736,0.027045506241086814,-0.16599176808892774,397
10.1-10.4,4,0.6057638293142941,-1.8431441890558373,3.9064955851458687,-5.2170328724612025,0.05874910631279695,-0.1082830739126553,397
10.1-10.4,4,0.8891397050194609,1.4436522242084153,2.6739605574644387,1.563257653402984,0.1252133436107732,0.1807645220042653,397
10.1-10.4,4,1.3050786078412682,-0.8432109132228521,1.8272235214457428,-0.7667823239305451,0.26871299429157824,-0.22658172931144874,397
10.1-10.4,4,1.9155934247786433,1.647647644775789,1.245750608934155,-2.6747511135721416,0.5765308649456742,0.9499197217682886,397
10.1-10.4,4,2.8117066259517443,1.3612485457514094,0.8575885646812871,-0.8748808005415388,1.2246725966588743,1.667083791223495,397
10.1-10.4,4,4.127020926340092,-0.29421047631299635,0.58515268017213,-0.6785604628148233,2.610362430412671,-0.7679959740012627,397
10.1-10.4,5,0.06057638293142942,92.76309231025145,40.19451029713356,-17.276802844431455,0.000554072880829426,0.05139751379098699,397
10.1-10.4,5,0.08891397050194613,-30.558327501966577,26.144063265909505,8.822273868429432,0.0013209629636761755,-0.04036641886198495,397
10.1-10.4,5,0.13050786078412682,28.58146552265967,17.796569288268806,8.603116625564418,0.002821708764099845,0.08064857175610635,397
10.1-10.4,5,0.19155934247786435,6.614052238456478,12.265009655438293,9.657995241769044,0.006003785762010161,0.039709352658436434,397
10.1-10.4,5,0.2811706625951745,-1.0483666860612015,8.377797866405704,1.2693837032513697,0.012770644464398406,-0.013388318216007184,397
10.1-10.4,5,0.4127020926340091,3.1040403014138582,5.649379447372552,-6.894738854122558,0.028208054899719892,0.08755893923322519,397
10.1-10.4,5,0.6057638293142941,-4.436549931146281,3.8565594491520043,0.6052707723772345,0.06011556153120673,-0.26670569037209524,397
10.1-10.4,5,0.8891397050194609,-6.130948326666184,2.6207359239901438,1.8242227564412454,0.1302864963373938,-0.7987797767069444,397
10.1-10.4,5,1.3050786078412682,-0.020470966381104558,1.8051656005217331,2.327796459132189,0.2756866001432916,-0.005643571123254337,397
10.1-10.4,5,1.9155934247786433,1.6527793191655658,1.2406648781146734,1.2541282276071173,0.5832058714779986,0.963910603194767,397
10.1-10.4,5,2.8117066259517443,-1.1842019270778434,0.8481912580725781,0.8387136915927856,1.2467811831778208,-1.4764406797635692,397
10.1-10.4,5,4.127020926340092,0.25553905154700446,0.5829846919894165,-1.3745627550278432,2.6371366602069237,0.6738914009491123,397
10.4-10.7,1,0.06057638293142942,56.91066886979756,36.525339167020086,-37.14916113701355,0.0006657047766829294,0.03788570411084473,522
10.4-10.7,1,0.08891397050194613,30.24305215750369,23.90331517524218,-27.02174868706496,0.001574202138680758,0.04760867738657602,522
10.4-10.7,1,0.13050786078412682,10.40612541740567,16.60239408464965,-8.84851921573501,0.003261797285939061,0.03394267164363529,522
10.4-10.7,1,0.19155934247786435,-8.52923193595113,11.030535707816979,-20.837438702439087,0.007345706755298331,-0.06265323664942248,522
10.4-10.7,1,0.2811706625951745,17.10201879539935,7.600447990183386,8.174324253731225,0.01544181898530217,0.26408627852179223,522
10.4-10.7,1,0.4127020926340091,0.7930591400943682,5.199174848195077,0.020048777282282687,0.032860636666089516,0.026060428257362416,522
10.4-10.7,1,0.6057638293142941,-2.1784618205204005,3.591232634429881,-2.5456628095031775,0.0694331450069402,-0.1512574554762759,522
10.4-10.7,1,0.8891397050194609,6.183389903317204,2.4531180219106896,-0.337598733011569,0.14805650347605415,0.9154910887142818,522
10.4-10.7,1,1.3050786078412682,3.8611368465941744,1.6872250067500987,-0.9699675988920019,0.3135557689531847,1.2106817329673112,522
10.4-10.7,1,1.9155934247786433,0.6555080703397315,1.1501524761038524,-2.968840383256719,0.6740758207879205,0.4418621405473604,522
10.4-10.7,1,2.8117066259517443,-0.6130323840847728,0.7863413184964897,-0.352530253326511,1.441718404132077,-0.8838200704639811,522
10.4-10.7,1,4.127020926340092,0.1296796090948811,0.5385534125548035,0.6784210999732219,3.0721621835632327,0.39839679104055636,522
10.4-10.7,2,0.06057638293142942,-24.207348527566428,36.41500952058574,-25.472870451561395,0.000677619543039909,-0.016403372447457376,521
10.4-10.7,2,0.08891397050194613,8.409790717435623,24.273499193851812,-48.53247056036257,0.001527475905180986,0.012845752688497632,521
10.4-10.7,2,0.13050786078412682,5.154181045050442,16.741642281084705,17.51341398081015,0.003201123203606826,0.01649916853890145,521
10.4-10.7,2,0.19155934247786435,21.41641109905942,11.253813211602953,-1.2855674386259464,0.00706863171785882,0.15138472277751508,521
10.4-10.7,2,0.2811706625951745,9.652184944495671,7.67870646753937,-1.2673698237686981,0.015134958883193272,0.14608542226791912,521
10.4-10.7,2,0.4127020926340091,-5.448909734219982,5.255199066867861,-2.409491128922929,0.03223674554097089,-0.1756551165777689,521
10.4-10.7,2,0.6057638293142941,-0.43609554974179165,3.58051419473931,-0.12725115975979065,0.06985211970299521,-0.030462198542507132,521
10.4-10.7,2,0.8891397050194609,-1.1973688014345412,2.4368292545271886,-3.106480794498662,0.1500468243252135,-0.17966138620134003,521
10.4-10.7,2,1.3050786078412682,1.701327451178885,1.6688673323910859,-2.617395357555256,0.32072000816490864,0.5456497540332752,521
10.4-10.7,2,1.9155934247786433,-0.6184484833226772,1.134941124345083,-1.972086303202682,0.6902622380349555,-0.426891634207635,521
10.4-10.7,2,2.8117066259517443,0.8369988499767578,0.7758520259812178,-0.14123264556280987,1.484545409746537,1.242562800696126,521
10.4-10.7,2,4.127020926340092,-0.02576140127082565,0.533818636334376,0.8608237786914645,3.1282780188657036,-0.08058882533070288,521
10.4-10.7,3,0.06057638293142942,6.155893536092125,37.02470917502024,31.50446200016728,0.0006526424387509611,0.004017597370086442,522
10.4-10.7,3,0.08891397050194613,17.5505434367469,24.86044045785104,7.413156223389104,0.0014615833750121765,0.025651582509578337,522
