label,mass_bin,R_mpc,n_slices_used,slope_b_per_dn4000,slope_b_err,intercept_a,intercept_a_err,chi2,dof,chi2_pvalue
FULL,10.4-10.7,1.9155934247786437,5,-0.020560451932600726,0.3581383501546025,0.054550164352293824,1.1959908819981149,3.90877474978623,3,0.27148479682391086
FULL,10.4-10.7,2.8117066259517443,5,-0.08489736138150324,0.24537301260353184,0.0678610133436612,0.8183366348798367,3.8291439519872106,3,0.280514351000433
FULL,10.4-10.7,4.127020926340092,5,0.1064234851043902,0.1687498128830694,-0.11320723603108547,0.5615769772048765,3.9255821700982003,3,0.26961284851225803
FULL,10.7-11.0,0.0605763829314294,5,23.20666825293225,12.89940352995294,-13.283027661858323,43.30802625401528,6.144759479040743,3,0.10477587795778648
FULL,10.7-11.0,0.0889139705019461,5,1.4574125262154618,8.644482851518628,8.228247748738347,28.859064204078066,0.46889905053221287,3,0.9256690557867124
FULL,10.7-11.0,0.1305078607841268,5,7.9951515236808435,5.892605472452167,-15.045686979325753,19.756151991270176,4.528229377134293,3,0.2097860704896972
FULL,10.7-11.0,0.1915593424778643,5,1.857579280609234,3.9731816433639513,5.735660624785423,13.354704486386227,1.84949363426899,3,0.6042242423670483
FULL,10.7-11.0,0.2811706625951745,5,1.7233083014493482,2.728472533085352,1.8058116751348312,9.096758726537582,0.6253073472956912,3,0.8906151749513566
FULL,10.7-11.0,0.4127020926340091,5,-0.362225977900067,1.8630171100150572,-0.9284064551108621,6.218333660799593,5.193904621451213,3,0.15813681497753904
FULL,10.7-11.0,0.6057638293142941,5,-0.02976692113172524,1.2681242743997827,4.045588751621554,4.24387982171875,4.427153660437121,3,0.21888078119598312
FULL,10.7-11.0,0.8891397050194609,5,-0.7448893841936921,0.8685568688801233,3.333831717113414,2.907482022303139,1.0675499497568406,3,0.7849128580868449
FULL,10.7-11.0,1.3050786078412682,5,1.0888674709666721,0.5928538144240437,-2.5155310381555545,1.9803410058189397,3.0294907899599433,3,0.38710058827716076
FULL,10.7-11.0,1.9155934247786437,5,-0.14454169444805778,0.4063142201174696,0.25237037014366437,1.3549280703416,2.9322646988683747,3,0.40218696168064705
FULL,10.7-11.0,2.8117066259517443,5,0.6462679385085767,0.2777685660469497,-2.2936139927888024,0.9239527583628236,0.5349572662981942,3,0.9111470042456167
FULL,10.7-11.0,4.127020926340092,5,0.2930308907905638,0.19093767726235472,-1.1616318011139473,0.634318395512473,6.704116203364838,3,0.08195106258433767
FULL,11.0-11.3,0.0605763829314294,5,43.02443768355494,24.032140817372635,-121.4903461142327,78.26134197838529,3.7012680140016707,3,0.2955810682029539
FULL,11.0-11.3,0.0889139705019461,5,-4.287455263212633,16.520449707890776,32.65403848571528,54.821308959442675,2.1773740615258657,3,0.5364187144073658
FULL,11.0-11.3,0.1305078607841268,5,4.710803999430839,11.138938209038102,29.93021851299955,37.30813039570357,10.961573915590964,3,0.011935484974892831
FULL,11.0-11.3,0.1915593424778643,5,-1.6136067220079782,7.476357335423902,3.1113295978017517,25.085300129493,1.1263467767651505,3,0.7707179736941767
FULL,11.0-11.3,0.2811706625951745,5,-7.207274395510084,5.105059195730439,30.51233565735822,17.040705258731474,1.616929507757715,3,0.655557288762683
FULL,11.0-11.3,0.4127020926340091,5,-0.6271123978179721,3.471710119825269,3.8869849983233347,11.479115178321893,5.659773940553036,3,0.1293886110618475
FULL,11.0-11.3,0.6057638293142941,5,-0.3808426744642602,2.365159247153705,-1.2335608580666566,7.86663542756095,0.6285944446084448,3,0.889856250575479
FULL,11.0-11.3,0.8891397050194609,5,-1.1636970841061063,1.6006648362183382,1.5937713358754757,5.3113146828179305,1.6484701631271472,3,0.64845014683936
FULL,11.0-11.3,1.3050786078412682,5,-0.3028251279279407,1.0966864952514168,-2.4447877916620437,3.647686257100829,1.6166436991663693,3,0.6556218885288383
FULL,11.0-11.3,1.9155934247786437,5,-0.5721823901842983,0.7555248018702003,2.501420849457654,2.5120473272563872,0.33254126197627143,3,0.9537965417597442
FULL,11.0-11.3,2.8117066259517443,5,0.5609206406456358,0.5098211139129794,0.4432412692690737,1.6922630985436418,1.5073570886075247,3,0.6805733620830505
FULL,11.0-11.3,4.127020926340092,5,-0.10706826583677087,0.35367962905064854,0.2074735583757181,1.1730263835952928,7.317395800976327,3,0.06244071113549315
